Random Seed,NSamples,Event,Shapley Value,t (event index),Entity,Tolerance
42,1000,Event -1,0.13959473868211109,0,151245,1.25e-06
42,1000,Event -2,-0.01125637690226236,-1,151245,1.25e-06
42,1000,Event -3,0.44043678541978204,-2,151245,1.25e-06
42,1000,Event -1,0.005195334553718566,0,137658,1.25e-06
42,1000,Event -2,-0.0016498118638992307,-1,137658,1.25e-06
42,1000,Event -3,0.18818971514701843,-2,137658,1.25e-06
42,1000,Event -1,-0.015571042895317078,0,134852,1.25e-06
42,1000,Event -2,0.4917084127664566,-1,134852,1.25e-06
42,1000,Event -1,-0.02209114531675974,0,148052,1.25e-06
42,1000,Event -2,-0.017719427744547527,-1,148052,1.25e-06
42,1000,Event -3,0.4881621052821477,-2,148052,1.25e-06
42,1000,Event -1,0.03500353296597798,0,156049,1.25e-06
42,1000,Event -2,-0.01057241360346476,-1,156049,1.25e-06
42,1000,Event -3,0.5858238538106283,-2,156049,1.25e-06
42,1000,Event -1,-0.0012504413014366319,0,169594,1.25e-06
42,1000,Event -2,-4.2574744959856415e-10,-1,169594,1.25e-06
42,1000,Event -3,0.003064446222214536,-2,169594,1.25e-06
42,1000,Event -4,0.08490642962001606,-3,169594,1.25e-06
42,1000,Event -5,0.007604876728284925,-4,169594,1.25e-06
42,1000,Event -6,0.011686325640905465,-5,169594,1.25e-06
42,1000,Event -7,0.19891911007109148,-6,169594,1.25e-06
42,1000,Event -1,-0.0046402225418695625,0,100598,1.25e-06
42,1000,Event -2,0.0782017860857267,-1,100598,1.25e-06
42,1000,Event -3,-0.009864364729987238,-2,100598,1.25e-06
42,1000,Event -4,-0.009701912270651938,-3,100598,1.25e-06
42,1000,Event -5,0.058576524588796766,-4,100598,1.25e-06
42,1000,Event -6,-0.0037937960690921785,-5,100598,1.25e-06
42,1000,Event -7,-0.002023296152788491,-6,100598,1.25e-06
42,1000,Event -8,0.006375170085165235,-7,100598,1.25e-06
42,1000,Event -9,0.12964489556967262,-8,100598,1.25e-06
42,1000,Event -1,0.10690408945083618,0,163446,1.25e-06
42,1000,Event -2,0.40974387526512146,-1,163446,1.25e-06
42,1000,Event -1,-0.06399369736512502,0,166653,1.25e-06
42,1000,Event -2,-0.0018071730931599865,-1,166653,1.25e-06
42,1000,Event -3,0.001370484630266825,-2,166653,1.25e-06
42,1000,Event -4,0.1205300986766815,-3,166653,1.25e-06
42,1000,Event -1,-0.00048590203126271624,0,171444,1.25e-06
42,1000,Event -2,-0.011662875612576801,-1,171444,1.25e-06
42,1000,Event -3,0.142441193262736,-2,171444,1.25e-06
42,1000,Event -1,0.32747743527094525,0,151802,1.25e-06
42,1000,Event -2,-0.02506131927172349,-1,151802,1.25e-06
42,1000,Event -3,-0.007182627916336056,-2,151802,1.25e-06
42,1000,Event -4,0.10446190834045416,-3,151802,1.25e-06
42,1000,Event -1,-0.037359257539113365,0,167894,1.25e-06
42,1000,Event -2,0.08236714700857799,-1,167894,1.25e-06
42,1000,Event -3,0.34499844412008923,-2,167894,1.25e-06
42,1000,Event -1,-0.0068206386640667915,0,173153,1.25e-06
42,1000,Event -2,-0.09389413171447812,-1,173153,1.25e-06
42,1000,Event -3,-0.18297409289516509,-2,173153,1.25e-06
42,1000,Event -1,0.0055867281106727895,0,197151,1.25e-06
42,1000,Event -2,0.0036175036122874094,-1,197151,1.25e-06
42,1000,Event -3,0.011004248503891256,-2,197151,1.25e-06
42,1000,Event -4,-0.21905784316597432,-3,197151,1.25e-06
42,1000,Event -5,0.008426303215443104,-4,197151,1.25e-06
42,1000,Event -6,-0.15461523806646713,-5,197151,1.25e-06
42,1000,Event -7,0.05501831105895458,-6,197151,1.25e-06
42,1000,Event -8,0.016410056123184733,-7,197151,1.25e-06
42,1000,Event -9,0.37544983062479226,-8,197151,1.25e-06
42,1000,Event -1,-0.0032575394426073204,0,151976,1.25e-06
42,1000,Event -2,-0.008995339842069685,-1,151976,1.25e-06
42,1000,Event -3,-0.00885927137874417,-2,151976,1.25e-06
42,1000,Event -4,0.10949320140339067,-3,151976,1.25e-06
42,1000,Event -5,-0.003090830218224286,-4,151976,1.25e-06
42,1000,Event -6,-0.005054232052394313,-5,151976,1.25e-06
42,1000,Event -7,0.18465879502750582,-6,151976,1.25e-06
42,1000,Event -1,-0.0019309210429870054,0,138666,1.25e-06
42,1000,Event -2,0.001690787322831515,-1,138666,1.25e-06
42,1000,Event -3,-0.03375648229687024,-2,138666,1.25e-06
42,1000,Event -4,0.07553142663174735,-3,138666,1.25e-06
42,1000,Event -5,-0.05592659464450442,-4,138666,1.25e-06
42,1000,Event -6,-0.013490139445101863,-5,138666,1.25e-06
42,1000,Event -7,-0.03310054994992727,-6,138666,1.25e-06
42,1000,Event -8,-0.06542493369554546,-7,138666,1.25e-06
42,1000,Event -9,-0.1754878866535448,-8,138666,1.25e-06
42,1000,Event -10,-0.056565013013796184,-9,138666,1.25e-06
42,1000,Event -11,-0.08533213044644207,-10,138666,1.25e-06
42,1000,Event -12,-0.3206781027529468,-11,138666,1.25e-06
42,1000,Event -1,0.18944769601027173,0,140363,1.25e-06
42,1000,Event -2,0.00642878810564676,-1,140363,1.25e-06
42,1000,Event -3,0.35567405323187506,-2,140363,1.25e-06
42,1000,Event -1,0.02310106257597612,0,130390,1.25e-06
42,1000,Event -2,-0.16603133231401423,-1,130390,1.25e-06
42,1000,Event -3,0.014728432893753085,-2,130390,1.25e-06
42,1000,Event -4,0.28679711967706656,-3,130390,1.25e-06
42,1000,Event -5,0.016121070583661357,-4,130390,1.25e-06
42,1000,Event -1,-0.025292389094829577,0,137329,1.25e-06
42,1000,Event -2,0.21302351951599124,-1,137329,1.25e-06
42,1000,Event -3,-0.028505378961563133,-2,137329,1.25e-06
42,1000,Event -4,-0.006487955152988443,-3,137329,1.25e-06
42,1000,Event -5,0.0013859877983728763,-4,137329,1.25e-06
