Coalition,t (event index),Shapley Value,Entity
Sum of contribution of events ≤ t,0,0.43259817361831665,146215
Sum of contribution of events > t,-1,-4.309415817260742e-05,146215
Sum of contribution of events ≤ t,-1,0.43264126777648926,146215
Sum of contribution of events > t,-2,0.17997461557388306,146215
Sum of contribution of events ≤ t,-2,0.2526235580444336,146215
Sum of contribution of events > t,-3,0.18045184016227722,146215
Sum of contribution of events ≤ t,-3,0.25214633345603943,146215
Sum of contribution of events > t,-4,0.17837339639663696,146215
Sum of contribution of events ≤ t,-4,0.2542247772216797,146215
Sum of contribution of events > t,-5,0.17963019013404846,146215
Sum of contribution of events ≤ t,-5,0.2529679834842682,146215
Sum of contribution of events > t,-6,0.43259817361831665,146215
Sum of contribution of events ≤ t,-6,0.0,146215
Sum of contribution of events > t,0,0.0,116346
Sum of contribution of events ≤ t,0,0.5198257267475128,116346
Sum of contribution of events > t,-1,-0.0018127262592315674,116346
Sum of contribution of events ≤ t,-1,0.5216384530067444,116346
Sum of contribution of events > t,-2,0.5198257267475128,116346
Sum of contribution of events ≤ t,-2,0.0,116346
Sum of contribution of events > t,0,0.0,185964
Sum of contribution of events ≤ t,0,-0.10298193991184235,185964
Sum of contribution of events > t,-1,-0.0007265433669090271,185964
Sum of contribution of events ≤ t,-1,-0.10225539654493332,185964
Sum of contribution of events > t,-2,-0.049246929585933685,185964
Sum of contribution of events ≤ t,-2,-0.05373501032590866,185964
Sum of contribution of events > t,-3,-0.10298193991184235,185964
Sum of contribution of events ≤ t,-3,0.0,185964
Sum of contribution of events > t,0,0.0,100160
Sum of contribution of events ≤ t,0,0.4599170982837677,100160
Sum of contribution of events > t,-1,0.19816379249095917,100160
Sum of contribution of events ≤ t,-1,0.26175330579280853,100160
Sum of contribution of events > t,-2,0.4806276708841324,100160
Sum of contribution of events ≤ t,-2,-0.020710572600364685,100160
Sum of contribution of events > t,-3,0.4599170982837677,100160
Sum of contribution of events ≤ t,-3,0.0,100160
Sum of contribution of events > t,0,0.0,154711
Sum of contribution of events ≤ t,0,0.44921138882637024,154711
Sum of contribution of events > t,-1,0.004801005125045776,154711
Sum of contribution of events ≤ t,-1,0.44441038370132446,154711
Sum of contribution of events > t,-2,0.44921138882637024,154711
Sum of contribution of events ≤ t,-2,0.0,154711
Sum of contribution of events > t,0,0.0,162771
